Country or region,"Price
(US dollars)
[26][27][28][29]"
Argentina,"$1,094.11"
Australia,$506.66
Austria,$674.96
Belgium,$618.34
Brazil,$791.40
Brunei,$525.52
Canada (Montréal),$557.18
Canada (no tax),$467.36
Chile,$602.13
China,$602.52
Czech Republic,$676.69
Denmark,$725.32
Finland,$695.25
France,$688.49
Germany,$618.34
Greece,$715.54
Hong Kong,$501.52
Hungary,$679.64
India,$512.61
Ireland,$630.73
Italy,$674.96
Japan,$501.56
Luxembourg,$641.50
Malaysia,$473.77
Mexico,$591.62
Netherlands,$683.08
New Zealand,$610.45
Norway,$655.92
Philippines,$556.42
Pakistan,$550.00
Poland,$704.51
Portugal,$688.49
Russia,$596.08
Singapore,$525.98
Slovakia,$674.96
,
